timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:24:14,0,0,0,0,0,1,1,LOW
1970-01-01 00:24:16,0,0,0,1,0,0,1,LOW
1970-01-01 00:24:17,0,1,0,0,0,0,1,LOW
1970-01-01 00:24:21,0,0,0,0,1,0,1,LOW
1970-01-01 00:24:23,1,0,0,0,0,0,1,LOW
1970-01-01 00:24:25,0,0,0,1,0,1,2,LOW
1970-01-01 00:24:28,0,0,1,0,0,0,1,LOW
1970-01-01 00:24:32,0,1,0,0,0,0,1,LOW
1970-01-01 00:24:34,0,0,0,0,1,0,1,LOW
1970-01-01 00:24:36,0,0,0,0,0,1,1,LOW
1970-01-01 00:24:37,0,0,0,1,0,0,1,LOW
1970-01-01 00:24:38,1,0,0,0,0,0,1,LOW
1970-01-01 00:24:40,0,0,1,0,0,0,1,LOW
1970-01-01 00:24:42,0,1,0,0,0,0,1,LOW
1970-01-01 00:24:43,0,0,0,0,1,0,1,LOW
1970-01-01 00:24:48,0,0,0,0,0,1,1,LOW
1970-01-01 00:24:49,0,0,0,1,0,0,1,LOW
1970-01-01 00:24:50,0,0,1,0,0,0,1,LOW
1970-01-01 00:24:53,1,0,0,0,0,0,1,LOW
1970-01-01 00:24:54,0,0,0,0,1,0,1,LOW
1970-01-01 00:24:57,0,1,0,0,0,1,2,LOW
1970-01-01 00:24:59,0,0,1,0,0,0,1,LOW
